JI,Henry Liston Euharmonic Organ (Calcutta 1812),,,Alt tunings,8,Image,2,,,,,,,,,,,,
,,Standard Tuning,,"Alternate Tuning 1 (""Grave 1"")",,"Alternate Tuning 2 (""Grave 2"")",,"Alternate Tuning 3 (""Extreme Sharp 2"")",,"Alternate Tuning 4 (""Extreme Sharp 1"")",,"Alternate Tuning 5 (""Extreme Flat 2""",,"Alternate Tuning 6 (""Extreme Flat 1"")",,"Alternate Tuning 7 (""Acute 1"")",,"Alternate Tuning 8 (""Acute 2"")",
,,,,1,,0,,2,,3,,4,,5,,6,,7,
Key #:,Key:,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name,Frequency (Hz),Tuning Name
51,B4,461.12,B-1,461.12,B-1,555.4,B-2,461.12,B-1,461.12,B-1,466.34,Cb+1,461.12,B-1,472.18,Cb+2,466.88,B
52,C5,491.84,C,486.34,B#-2,485.76,C-1,486.34,B#-2,491.84,C,491.84,C,491.84,C,486.34,B#-2,498.4,C+1
53,C#5,518.74,C#-1,512.24,C#-2,512.24,C#-2,518.74,C#-1,518.74,C#-1,524.54,Db+1,524.54,Db+1,518.74,C#-1,518.74,C#-1
54,D5,553.32,D,546.5,D-1,546.5,D-1,553.32,D,553.32,D,553.32,D,553.32,D,553.32,D,553.32,D
55,D#5,590.22,Eb+1,582.92,Eb,582.92,Eb,576.38,D#-2,576.38,D#-2,590.22,Eb+1,590.22,Eb+1,590.22,Eb+1,590.22,Eb+1
56,E5,614.8,E-1,614.8,E-1,614.8,E-1,614.8,E-1,614.8,E-1,614.8,E-1,614.8,E-1,622.6,E,622.6,E
57,F5,655.78,F,640.3,E#-3,640.3,E#-3,648.42,E#-2,655.78,F,655.78,F,655.78,F,664,F+1,664,F+1
58,F#5,691.64,F#-1,683.12,F#-2,683.12,F#-2,691.64,F#-1,691.64,F#-1,699.52,Gb+1,691.64,F#-1,708.26,Gb+2,708.26,Gb+2
59,G5,737.78,G,737.78,G,737.78,G-1,737.78,G,737.78,G,737.78,G,737.78,G,737.78,G,747,G+1
60,G#5,768.5,G#-2,768.5,G#-2,768.5,G#-2,768.5,G#-2,768.5,G#-2,786.94,Ab+1,786.94,Ab+1,778.12,G#-1,778.12,G#-1
61,A5,819.6,A-1,819.6,A-1,819.6,A-1,819.6,A-1,819.6,A-1,819.6,A-1,819.6,A-1,830,A-1,830,A-1
62,A#5,874.4,Bb,874.4,Bb,874.4,Bb,864.56,A#-2,864.56,A#-2,874.4,Bb,874.4,Bb,885.32,Bb+1,885.32,Bb+1
63,B5,922.24,B-1,922.24,B-1,1110.8,B-2,922.24,B-1,922.24,B-1,932.68,Cb+1,922.24,B-1,944.36,Cb+2,933.76,B
64,C6,983.68,C,972.68,B#-2,971.52,C-1,972.68,B#-2,983.68,C,983.68,C,983.68,C,972.68,B#-2,996.8,C+1
65,C#6,1037.48,C#-1,1024.48,C#-2,1024.48,C#-2,1037.48,C#-1,1037.48,C#-1,1049.08,Db+1,1049.08,Db+1,1037.48,C#-1,1037.48,C#-1
66,D6,1106.64,D,1093,D-1,1093,D-1,1106.64,D,1106.64,D,1106.64,D,1106.64,D,1106.64,D,1106.64,D
67,D#6,1180.44,Eb+1,1165.84,Eb,1165.84,Eb,1152.76,D#-2,1152.76,D#-2,1180.44,Eb+1,1180.44,Eb+1,1180.44,Eb+1,1180.44,Eb+1
68,E6,1229.6,E-1,1229.6,E-1,1229.6,E-1,1229.6,E-1,1229.6,E-1,1229.6,E-1,1229.6,E-1,1245.2,E,1245.2,E
69,F6,1311.56,F,1280.6,E#-3,1280.6,E#-3,1296.84,E#-2,1311.56,F,1311.56,F,1311.56,F,1328,F+1,1328,F+1
70,F#6,1383.28,F#-1,1366.24,F#-2,1366.24,F#-2,1383.28,F#-1,1383.28,F#-1,1399.04,Gb+1,1383.28,F#-1,1416.52,Gb+2,1416.52,Gb+2
71,G6,1475.56,G,1475.56,G,1475.56,G-1,1475.56,G,1475.56,G,1475.56,G,1475.56,G,1475.56,G,1494,G+1
72,G#6,1537,G#-2,1537,G#-2,1537,G#-2,1537,G#-2,1537,G#-2,1573.88,Ab+1,1573.88,Ab+1,1556.24,G#-1,1556.24,G#-1
